op_index,op_name,func_name,num_loops,num_parallel,num_reduction,reduction_format,reduction_dims
0,linalg.generic,alexnet,4,4,0,none,""
1,linalg.generic,alexnet,7,4,3,inner,"4;5;6"
2,linalg.generic,alexnet,3,3,0,none,""
3,linalg.generic,alexnet,4,4,0,none,""
4,linalg.generic,alexnet,6,4,2,inner,"4;5"
5,linalg.generic,alexnet,4,4,0,none,""
6,linalg.generic,alexnet,7,4,3,inner,"4;5;6"
7,linalg.generic,alexnet,3,3,0,none,""
8,linalg.generic,alexnet,4,4,0,none,""
9,linalg.generic,alexnet,6,4,2,inner,"4;5"
10,linalg.generic,alexnet,4,4,0,none,""
11,linalg.generic,alexnet,7,4,3,inner,"4;5;6"
12,linalg.generic,alexnet,3,3,0,none,""
13,linalg.generic,alexnet,4,4,0,none,""
14,linalg.generic,alexnet,7,4,3,inner,"4;5;6"
15,linalg.generic,alexnet,3,3,0,none,""
16,linalg.generic,alexnet,4,4,0,none,""
17,linalg.generic,alexnet,7,4,3,inner,"4;5;6"
18,linalg.generic,alexnet,3,3,0,none,""
19,linalg.generic,alexnet,4,4,0,none,""
20,linalg.generic,alexnet,6,4,2,inner,"4;5"
21,linalg.generic,alexnet,4,4,0,none,""
22,linalg.generic,alexnet,6,4,2,inner,"4;5"
23,linalg.generic,alexnet,4,4,0,none,""
24,linalg.generic,alexnet,2,2,0,none,""
25,linalg.generic,alexnet,1,1,0,none,""
26,linalg.generic,alexnet,4,1,3,mixed,"1;2;3"
27,linalg.generic,alexnet,1,1,0,none,""
28,linalg.generic,alexnet,2,2,0,none,""
29,linalg.generic,alexnet,3,2,1,inner,"2"
30,linalg.generic,alexnet,1,1,0,none,""
31,linalg.generic,alexnet,2,2,0,none,""
32,linalg.generic,alexnet,2,2,0,none,""
33,linalg.generic,alexnet,3,2,1,inner,"2"
34,linalg.generic,alexnet,1,1,0,none,""
